Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 351-58,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Aarav Desai, wish to lodge a formal complaint regarding an incident that occurred on 23-10-2023, late night, at the bus. a person known to me, Sneha Sharma  engaged in the offense. I have audio recordings and call records as evidence. I request that appropriate legal action be taken against the accused.",,,,,
Section 352-36,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assault or use of criminal force otherwise than on grave provocation. Respected Sir/Madam, I, Raj Sen, wish to lodge a formal complaint regarding assault or use of criminal force otherwise than on grave provocation that occurred on 17-02-2025, early evening, at the flight. an unknown person, with a mustache  beat me with a blunt object, causing injuries to my face. I have transaction records, call records and digital communications as evidence. I request that appropriate legal action be taken against the accused.",Assault or use of criminal force otherwise than on grave provocation (variation 2),3 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 353-93,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assault or use of criminal force to deter a public servant from discharge of his duty. Respected Sir/Madam, I, Kabir Sen, wish to lodge a formal complaint regarding assault or use of criminal force to deter a public servant from discharge of his duty that occurred on 21-07-2023, during the night, at the educational institution in Lucknow. my landlord Ananya Kapoor, aged around 30-35 years  beat me with a rod, inflicting multiple cuts on my body. I have CCTV footage as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Assault or use of criminal force to deter a public servant from discharge of his duty (variation 1),2 Years or Fine or Both,Cognizable,Non-Bailable,Any Magistrate
Section 354-15,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assault or use of criminal force to woman with intent to outrage her modesty. Respected Sir/Madam, I, Rohit Desai, wish to lodge a formal complaint regarding assault or use of criminal force to woman with intent to outrage her modesty that occurred on 02-05-2024, in the afternoon, at my office. an unidentified individual, wearing a green shirt and black pants  assaulted me with a rod, causing me to lose consciousness due to the fracture. I have digital communications as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Assault or use of criminal force to woman with intent to outrage her modesty (variation 9),1 to 5 years + Fine,Cognizable,Non-bailable,Any Magistrate
Section 354A-24,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography. Respected Sir/Madam, I, Sneha Shah, wish to lodge a formal complaint regarding sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography that occurred on 29-07-2024, late afternoon, at the complainant's residence. my neighbor Arjun Bose  committed a sexual offense against me. I was subjected to this traumatic experience against my will and consent. I have physical evidence and audio recordings as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography (variation 4),Upto 3 years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 354B-21,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding criminal force to woman with intent to disrobe. Respected Sir/Madam, I, Ananya Desai, wish to lodge a formal complaint regarding criminal force to woman with intent to disrobe that occurred on 02-09-2023, late morning, at the business establishment. my landlord Aanya Patel, speaking in Hindi  carried out criminal force to woman with intent to disrobe. I have material evidence and digital communications as evidence. I request that appropriate legal action be taken against the accused.",Criminal force to woman with intent to disrobe (variation 9),3 to 7 years + Fine,Cognizable,Non-bailable,Any Magistrate
Section 354C-6,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Vivaan Sharma, wish to lodge a formal complaint regarding an incident that occurred on 20-10-2023, just before 5:30 AM, at the metro. my brother named Sunita Mehta  engaged in the offense. I have forensic evidence, medical reports and video recordings as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 354D-91,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding stalking. Respected Sir/Madam, I, Ayush Nair, wish to lodge a formal complaint regarding stalking that occurred on 24-10-2023, between 7:15 and 8:15 PM, at the auto-rickshaw. my colleague Reyansh Sharma, speaking in local dialect  perpetrated stalking. I have documentary proof as evidence. I request that appropriate legal action be taken against the accused.",Stalking (variation 2),Upto 3 years + Fine for first conviction,Cognizable,Bailable,Any Magistrate
Section 355-76,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation. Respected Sir/Madam, I, Aarav Khanna, wish to lodge a formal complaint regarding assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation that occurred on 13-11-2023, around 4:15 PM, at the coaching center in Ludhiana. my in-law named Navya Kumar  assaulted me with a blunt object, causing me to suffer from contusion and contusion. I have recovered stolen items, documentary proof and material evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation (variation 7)",2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 356-25,"I, Sanjay Gupta, am writing to report a case of pickpocketing. On 02-02-2024, early night, while traveling in a crowded the private vehicle at the highway in Vaishali, I felt someone bump into me. Shortly after, I realized that my watch valued at Rs. 7,714, household items worth approximately Rs. 66,579 and household items worth approximately Rs. 73,904. The suspect was my former friend Kabir Chauhan, wearing a white shirt and green pants. I tried to chase the person but lost them in the crowd. Several bystanders witnessed the incident. I have audio recordings, CCTV footage and eyewitness testimony as evidence. I request immediate registration of an FIR and appropriate action.",Assault or criminal force in attempt to commit theft of property worn or carried by a person (variation 7),2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 357-50,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assault or use of criminal force in attempt wrongfully to confine a person. Respected Sir/Madam, I, Aarav Reddy, wish to lodge a formal complaint regarding assault or use of criminal force in attempt wrongfully to confine a person that occurred on 13-11-2023, in the morning, at the library. my business associate Kiran Nair, of approximately short height and thin build  hit me with a knife, leading to severe fracture requiring medical attention. I have expert testimony as evidence. I urge the authorities to register an FIR and take necessary action.",Assault or use of criminal Force in attempt wrongfully to confine a person (variation 5),1 Year or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 358-35,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assault or use of criminal force on grave and sudden provocation. Respected Sir/Madam, I, Anjali Desai, wish to lodge a formal complaint regarding assault or use of criminal force on grave and sudden provocation that occurred on 11-07-2024, between 12:15 and 2:15 AM, at the victim's house in Bandra. my neighbor Rohit Mishra, carrying a knife  beat me with a rod, resulting in bleeding from my eye. I have physical evidence and call records as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Assault or use of criminal force on grave and sudden provocation (variation 5),Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 359-48,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Sanjay Jain, wish to lodge a formal complaint regarding an incident that occurred on 10-08-2023, in the morning, at the public gathering near Railway Station. a local resident named Navya Kapoor, speaking in regional language  committed the offense. I have video recordings and call records as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 360-55,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Sneha Sen, wish to lodge a formal complaint regarding an incident that occurred on 05-04-2023, around 8:45 PM, at the residential complex near Central Park. my neighbor Meera Mukherjee  engaged in the offense. I have expert testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 361-92,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Reyansh Bose, wish to lodge a formal complaint regarding an incident that occurred on 20-12-2024, during the night, at the library. my landlord Aadhya Kapoor, wearing a white shirt and blue pants  carried out the offense. I have audio recordings and expert testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",,,,,
Section 362-34,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Vihaan Mukherjee, wish to lodge a formal complaint regarding an incident that occurred on 30-01-2024, during the evening, at the private vehicle in Nagpur. a local resident named Diya Reddy  carried out the offense. I have recovered stolen items and eyewitness testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",,,,,
Section 363-92,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping. Respected Sir/Madam, I, Aditya Kapoor, wish to lodge a formal complaint regarding kidnapping that occurred on 07-05-2024, around 5:30 PM, at my home. my acquaintance Rahul Jain, with a scar on the face  abducted me and held me against my will. I have physical evidence, forensic evidence and transaction records as evidence. I request that appropriate legal action be taken against the accused.",Kidnapping (variation 3),7 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 363A-21,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging. Respected Sir/Madam, I, Kiran Kumar, wish to lodge a formal complaint regarding kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging that occurred on 08-05-2023, between 2:30 and 4:30 PM, at the public gathering in Hauz Khas. my landlord Vihaan Patel, driving a green van  abducted me and demanded a ransom of Rs. 38,78,439. I have audio recordings, forensic evidence and video recordings as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging (variation 1),10 Years + Fine.,Cognizable,Non-Bailable,Magistrate First Class
Section 364-61,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping or abducting in order to murder. Respected Sir/Madam, I, Pari Dutta, wish to lodge a formal complaint regarding kidnapping or abducting in order to murder that occurred on 14-03-2025, during the morning, at the restaurant in Indore. my colleague Priya Chopra  abducted me and demanded a ransom of Rs. 4,19,369. I have recovered stolen items, material evidence and photographs as evidence. I urge the authorities to register an FIR and take necessary action.",Kidnapping or abducting in order to murder (variation 3),Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 364A-9,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping for ransom, etc.. Respected Sir/Madam, I, Aadhya Desai, wish to lodge a formal complaint regarding kidnapping for ransom, etc. that occurred on 03-05-2024, around 8:30 AM, at the market. my former sister Meera Nair, speaking in Hindi  kidnapped me and held me against my will. I have digital communications and physical evidence as evidence. I request that appropriate legal action be taken against the accused.","Kidnapping for ransom, etc. (variation 5)",Death or Life + Fine,Cognizable,Non-Bailable,Court of Session
Section 365-75,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping or abducting with intent secretly and wrongfully to confine a person. Respected Sir/Madam, I, Sunita Yadav, wish to lodge a formal complaint regarding kidnapping or abducting with intent secretly and wrongfully to confine a person that occurred on 01-07-2024, at approximately 5:00 AM, at the exhibition ground. my former uncle Radha Sharma, wearing a red shirt and black pants  forcibly took me and demanded a ransom of Rs. 21,88,987. I have photographs and forensic evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Kidnapping or abducting with intent secretly and wrongfully to confine a person (variation 3),7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 366-87,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping or abducting a woman to compel her marriage or to cause her defilement etc.. Respected Sir/Madam, I, Sneha Singh, wish to lodge a formal complaint regarding kidnapping or abducting a woman to compel her marriage or to cause her defilement etc. that occurred on 18-05-2024, just before 9:00 PM, at the shop. my sister named Meera Khanna  forcibly took me and held me against my will. I have digital communications, material evidence and recovered stolen items as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Kidnapping or abducting a woman to compel her marriage or to cause her defilement etc. (variation 1),10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 366A-54,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding procuration of minor girl. Respected Sir/Madam, I, Aadhya Chopra, wish to lodge a formal complaint regarding procuration of minor girl that occurred on 17-05-2024, just before 12:45 AM, at my residence. a group of unknown individuals  committed procuration of minor girl. I have expert testimony and call records as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Procuration of minor girl (variation 10),10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 366B-63,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding importation of girl from foreign country. Respected Sir/Madam, I, Arjun Sen, wish to lodge a formal complaint regarding importation of girl from foreign country that occurred on 26-12-2024, shortly after 7:15 PM, at the taxi. a group of unknown individuals  committed importation of girl from foreign country. I have material evidence and transaction records as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Importation of girl from foreign country (variation 4),10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 367-97,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.. Respected Sir/Madam, I, Dhruv Verma, wish to lodge a formal complaint regarding kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc. that occurred on 05-01-2024, early morning, at my building in Kanpur. my landlord Navya Gupta, speaking in Hindi  attacked me with fists, causing me to suffer from contusion and laceration. I have recovered stolen items and audio recordings as evidence. I request that appropriate legal action be taken against the accused.","Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc. (variation 10)",10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 368-81,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding concealing or keeping in confinement a kidnapped person. Respected Sir/Madam, I, Rohit Kapoor, wish to lodge a formal complaint regarding concealing or keeping in confinement a kidnapped person that occurred on 31-03-2023, in the night, at the educational institution. my tenant Pooja Banerjee  abducted me and held me against my will. I have transaction records, eyewitness testimony and medical reports as evidence. I request that appropriate legal action be taken against the accused.",Concealing or keeping in confinement a kidnapped person (variation 4),As for Kidnapping or Abduction,Cognizable,Non-Bailable,As for Kidnapping or Abduction
Section 369-4,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding kidnapping or abducting a child with intent to take property from the person of such child. Respected Sir/Madam, I, Suman Roy, wish to lodge a formal complaint regarding kidnapping or abducting a child with intent to take property from the person of such child that occurred on 21-01-2025, just before 5:45 AM, at the flight in Ahmedabad. my colleague named Vikram Joshi, driving a grey car  forcibly took me and demanded a ransom of Rs. 41,13,726. I have documentary proof and video recordings as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Kidnapping or abducting a child with intent to take property from the person of such child (variation 7),7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 370-27,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding trafficking of person. Respected Sir/Madam, I, Aditya Kapoor, wish to lodge a formal complaint regarding trafficking of person that occurred on 28-03-2025, between 7:30 and 9:30 PM, at the factory in Koramangala. a local resident named Meera Banerjee, with short hair  perpetrated trafficking of person. I have forensic evidence and photographs as evidence. I urge the authorities to register an FIR and take necessary action.",Trafficking of person (variation 1),7 to 10 years + Fine,Cognizable,Non-bailable,Court of Session
Section 370A-79,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding exploitation of a trafficked child. Respected Sir/Madam, I, Anita Mehta, wish to lodge a formal complaint regarding exploitation of a trafficked child that occurred on 17-10-2024, just before 7:30 PM, at the university grounds in Lucknow. a group of unknown individuals, with a mustache  committed exploitation of a trafficked child. I have documentary proof and audio recordings as evidence. I request that appropriate legal action be taken against the accused.",Exploitation of a trafficked child (variation 7),5 to 7 years + Fine,Cognizable,Non-bailable,Court of Session
Section 371-26,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding habitual dealing in slaves. Respected Sir/Madam, I, Rahul Sharma, wish to lodge a formal complaint regarding habitual dealing in slaves that occurred on 22-09-2023, in the evening, at the complainant's residence near Community Center. a person known to me, Aadhya Mehta, speaking in English  carried out habitual dealing in slaves. I have photographs and transaction records as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Habitual dealing in slaves (variation 10),Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 372-20,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding selling or letting to hire a minor for purposes of prostitution, etc.. Respected Sir/Madam, I, Anjali Mehta, wish to lodge a formal complaint regarding selling or letting to hire a minor for purposes of prostitution, etc. that occurred on 07-02-2025, in the evening, at the shared cab in Navrangpura. a local resident named Reyansh Sen, of approximately short height and slim build  committed selling or letting to hire a minor for purposes of prostitution, etc.. I have forensic evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Selling or letting to hire a minor for purposes of prostitution, etc. (variation 10)",10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 373-29,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding buying or obtaining possession of a minor for the same purposes. Respected Sir/Madam, I, Ayush Chauhan, wish to lodge a formal complaint regarding buying or obtaining possession of a minor for the same purposes that occurred on 04-12-2024, between 10:45 and 12:45 AM, at the taxi. my former classmate Navya Sen, of approximately short height and heavy build  carried out buying or obtaining possession of a minor for the same purposes. I have digital communications and call records as evidence. I request that appropriate legal action be taken against the accused.",Buying or obtaining possession of a minor for the same purposes (variation 1),10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 374-10,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding unlawful compulsory labour. Respected Sir/Madam, I, Kiran Kapoor, wish to lodge a formal complaint regarding unlawful compulsory labour that occurred on 21-10-2024, at approximately 6:30 PM, at my housing society in Model Town. my business associate Kiran Patil, driving a yellow bicycle  carried out unlawful compulsory labour. I have eyewitness testimony as evidence. I urge the authorities to register an FIR and take necessary action.",Unlawful compulsory labour (variation 8),1 Year or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 375-36,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Ayush Gupta, wish to lodge a formal complaint regarding an incident that occurred on 06-08-2023, between 12:45 and 2:45 AM, at the factory in Hyderabad. my business associate Rohit Jain, aged around 40-45 years  carried out the offense. I have audio recordings and eyewitness testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 376-93,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding rape. Respected Sir/Madam, I, Pooja Pillai, wish to lodge a formal complaint regarding rape that occurred on 14-09-2023, between 11:30 and 1:30 AM, at the public transport in Ghaziabad. my acquaintance Priya Pillai, driving a grey truck  committed a sexual offense against me. I was subjected to this traumatic experience against my will and consent. I have expert testimony, eyewitness testimony and video recordings as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Rape (variation 1),Rigorous Imprisonment for 10 years to Imprisonment for Life + Fine,Cognizable,Non-bailable,Court of Session
Section 376A-27,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state. Respected Sir/Madam, I, Anika Desai, wish to lodge a formal complaint regarding person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state that occurred on 11-02-2025, shortly after 8:00 PM, at the library in Bandra. an unidentified individual, wearing a orange shirt and blue pants  assaulted me with a rod, resulting in bleeding from my head. I have audio recordings as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state (variation 9),Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life or Death,Cognizable,Non-bailable,Court of Session
Section 376AB-19,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Kavita Khanna, wish to lodge a formal complaint regarding an incident that occurred on 06-10-2024, at approximately 12:30 PM, at the factory in Mumbai. an unidentified individual, driving a brown scooter  committed the offense. I have video recordings and expert testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",,,,,
Section 376B-6,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding sexual intercourse by husband upon his wife during separation. Respected Sir/Madam, I, Dhruv Joshi, wish to lodge a formal complaint regarding sexual intercourse by husband upon his wife during separation that occurred on 07-07-2023, in the evening, at the college campus in C.G. Road. my former sister Sneha Gupta, carrying a gun  committed a sexual offense against me. I was subjected to this traumatic experience against my will and consent. I have documentary proof as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Sexual intercourse by husband upon his wife during separation (variation 10),2 to 7 years + Fine,Cognizable (on complaint of victim),Bailable,Court of Session
Section 376C-80,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding sexual intercourse by a person in authority. Respected Sir/Madam, I, Anika Jain, wish to lodge a formal complaint regarding sexual intercourse by a person in authority that occurred on 06-12-2024, early afternoon, at my rented accommodation in Indore. an unidentified gang, driving a purple bicycle  committed a sexual offense against me. I was subjected to this traumatic experience against my will and consent. I have audio recordings and call records as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Sexual intercourse by a person in authority (variation 5),Rigorous Imprisonment for 5 to 10 years + Fine,Cognizable,Non-bailable,Court of Session
Section 376D-86,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding gang rape. Respected Sir/Madam, I, Rahul Malhotra, wish to lodge a formal complaint regarding gang rape that occurred on 06-09-2023, in the night, at the community center in Indore. my tenant Vikram Shah, carrying a rod  committed a sexual offense against me. I was subjected to this traumatic experience against my will and consent. I have digital communications and documentary proof as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Gang rape (variation 8),Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life + Fine paid to the victim,Cognizable,Non-bailable,Court of Session
Section 376DA-53,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Diya Kumar, wish to lodge a formal complaint regarding an incident that occurred on 23-02-2025, during the morning, at the company premises in Aundh. an unknown youth  carried out the offense. I have eyewitness testimony and photographs as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",,,,,
Section 376DB-99,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Sanjay Mukherjee, wish to lodge a formal complaint regarding an incident that occurred on 31-12-2024, around 11:45 PM, at my residence in Malad. a local resident named Riya Dutta  engaged in the offense. I have expert testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 376E-18,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding repeat offenders. Respected Sir/Madam, I, Sunita Shah, wish to lodge a formal complaint regarding repeat offenders that occurred on 21-03-2025, at approximately 2:15 PM, at the public gathering near Cinema Hall. some unknown miscreants, aged around 30-35 years  committed repeat offenders. I have CCTV footage and eyewitness testimony as evidence. I request that appropriate legal action be taken against the accused.",Repeat offenders (variation 6),Imprisonment for Natural-Life or Death,Cognizable,Non-bailable,Court of Session
Section 377-71,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding unnatural offences. Respected Sir/Madam, I, Dhruv Banerjee, wish to lodge a formal complaint regarding unnatural offences that occurred on 28-04-2024, at approximately 11:15 AM, at the construction site. my in-law named Sneha Das, driving a orange bicycle  perpetrated unnatural offences. I have audio recordings as evidence. I urge the authorities to register an FIR and take necessary action.",Unnatural offences (variation 7),Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 378-83,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Arjun Nair, wish to lodge a formal complaint regarding an incident that occurred on 01-06-2024, during the morning, at my housing society in Mumbai. my business associate Anika Banerjee, with a beard  carried out the offense. I have material evidence and digital communications as evidence. I urge the authorities to register an FIR and take necessary action.",,,,,
Section 379-6,"I, Arjun Verma, wish to report a theft that occurred at my residence in the metro in Kanpur. On 02-09-2023, at approximately 9:45 AM, I returned home to find that my door lock had been broken. Upon inspection, I discovered that my ring valued at Rs. 6,147, personal belongings worth Rs. 50,525 and household items worth approximately Rs. 54,852. The intruder(s) had thoroughly ransacked my house, opening drawers and cupboards. I immediately contacted my neighbor Diya Chopra who confirmed seeing a suspicious person a group of unknown individuals lurking around our building earlier. I have filed a police complaint at University Campus and request a thorough investigation. I have recovered stolen items and digital communications as evidence.",Theft (variation 9),3 Years or Fine or Both,Cognizable,Non-Bailable,Any Magistrate
Section 380-88,"I, Geeta Gupta, wish to report a theft that occurred at my residence in the train in Visakhapatnam. On 14-04-2024, early morning, I returned home to find that my door lock had been broken. Upon inspection, I discovered that electronic items including headphones, important documents including PAN card and cash worth Rs. 74,538. The intruder(s) had thoroughly ransacked my house, opening drawers and cupboards. I immediately contacted my neighbor Raj Yadav who confirmed seeing a suspicious person a person known to me, Anika Patil, driving a brown bicycle lurking around our building earlier. I have filed a police complaint at Railway Station and request a thorough investigation. I have eyewitness testimony as evidence.","Theft in a building, tent or vessel (variation 1)",7 Years + Fine,Cognizable,Non-Bailable,Any Magistrate
Section 381-85,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding theft by clerk or servant of property in possession of master or employer. Respected Sir/Madam, I, Reyansh Singh, wish to lodge a formal complaint regarding theft by clerk or servant of property in possession of master or employer that occurred on 28-04-2024, just before 12:15 AM, at the auto-rickshaw. a person known to me, Riya Shah, carrying a chain  made away with electronic items including laptop. I have video recordings as evidence. I urge the authorities to register an FIR and take necessary action.",Theft by clerk or servant of property in possession of master or employer (variation 3),7 Years + Fine,Cognizable,Non-Bailable,Any Magistrate
Section 382-85,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it. Respected Sir/Madam, I, Vikram Banerjee, wish to lodge a formal complaint regarding theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it that occurred on 09-04-2023, around 8:15 PM, at the stadium. my landlord Sanjay Verma, with a mustache  snatched personal belongings worth Rs. 7,984, cash worth Rs. 10,562 and gold jewelry worth approximately Rs. 95,195. I have CCTV footage, medical reports and expert testimony as evidence. I urge the authorities to register an FIR and take necessary action.","Theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it (variation 7)",Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 383-67,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Radha Mehta, wish to lodge a formal complaint regarding an incident that occurred on 04-06-2023, around 2:15 PM, at the university grounds. an unidentified gang  committed the offense. I have video recordings as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 384-27,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding extortion. Respected Sir/Madam, I, Ayush Khanna, wish to lodge a formal complaint regarding extortion that occurred on 08-11-2024, late morning, at the public transport in Indore. my landlord Neha Malhotra  intimidated me by threatening to release private information. I have material evidence and physical evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Extortion (variation 6),3 Years or Fine or Both,Cognizable,Non-Bailable,Any Magistrate
Section 385-2,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding putting or attempting to put in fear of injury, in order to commit extortion. Respected Sir/Madam, I, Neha Desai, wish to lodge a formal complaint regarding putting or attempting to put in fear of injury, in order to commit extortion that occurred on 16-12-2023, early morning, at the library in Lucknow. my tenant Riya Roy, speaking in English  struck me with a rod, resulting in a swelling to my neck. I have digital communications and eyewitness testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Putting or attempting to put in fear of injury, in order to commit extortion (variation 6)",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
