Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 180,"This is to report that on 25-03-2024, refusing to sign statement made to a public servant when legally required to do so occurred. The incident happened at market. This occurred around morning. The accused is unknown. I have evidence in the form of medical reports.",Refusing to sign statement made to a public servant when legally required to do so,Simple Imprisonment for 3 Months or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 180,I would like to report that refusing to sign statement made to a public servant when legally required to do so. The incident happened at road. This occurred around morning. The accused is my neighbor. I have evidence in the form of medical reports.,Refusing to sign statement made to a public servant when legally required to do so,Simple Imprisonment for 3 Months or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 180,I wish to file an FIR as refusing to sign statement made to a public servant when legally required to do so has taken place. The incident happened at workplace. This occurred around afternoon. The accused is a colleague. I have evidence in the form of physical evidence.,Refusing to sign statement made to a public servant when legally required to do so,Simple Imprisonment for 3 Months or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 181,"On 20-09-2023, I witnessed/experienced knowingly stating to a public servant, on oath as true that which is false. The incident happened at workplace. This occurred around night. The accused is my neighbor. I have evidence in the form of photographs.","Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 181,"I would like to report that knowingly stating to a public servant, on oath as true that which is false. The incident happened at shop. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.","Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 181,"On 03-09-2023, I witnessed/experienced knowingly stating to a public servant, on oath as true that which is false. The incident happened at road. This occurred around early morning. The accused is a relative. I have evidence in the form of documents.","Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 181,"I wish to file an FIR as knowingly stating to a public servant, on oath as true that which is false has taken place. The incident happened at public place. This occurred around night. The accused is my neighbor. I have evidence in the form of medical reports.","Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 181,"On 24-11-2024, I witnessed/experienced knowingly stating to a public servant, on oath as true that which is false. The incident happened at home. This occurred around early morning. The accused is a stranger. I have evidence in the form of medical reports.","Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 182,I would like to report that giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person. The incident happened at train. This occurred around afternoon. The accused is a colleague. I have evidence in the form of physical evidence.,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 182,I am filing this complaint regarding an incident where giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person. The incident happened at train. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of video recording.,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 182,I wish to file an FIR as giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person has taken place. The incident happened at restaurant. This occurred around afternoon. The accused is known to me. I have evidence in the form of medical reports.,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 182,"On 06-06-2023, I witnessed/experienced giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person. The incident happened at shop. This occurred around night. The accused is a stranger. I have evidence in the form of medical reports.",Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 182,I am filing this complaint regarding an incident where giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person. The incident happened at shop. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 183,I wish to file an FIR as resistance to the taking of property by the lawful authority of a public servant has taken place. The incident happened at train. This occurred around afternoon. The accused is known to me. I have evidence in the form of documents.,Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 183,"This is to report that on 11-12-2023, resistance to the taking of property by the lawful authority of a public servant occurred. The incident happened at home. This occurred around night. The accused is my neighbor. I have evidence in the form of witnesses.",Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 183,"This is to report that on 17-09-2024, resistance to the taking of property by the lawful authority of a public servant occurred. The incident happened at shop. This occurred around early morning. The accused is a colleague. I have evidence in the form of medical reports.",Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 183,I am filing this complaint regarding an incident where resistance to the taking of property by the lawful authority of a public servant. The incident happened at public place. This occurred around evening. The accused is a stranger. I have evidence in the form of medical reports.,Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 183,I am filing this complaint regarding an incident where resistance to the taking of property by the lawful authority of a public servant. The incident happened at public place. This occurred around early morning. The accused is known to me. I have evidence in the form of documents.,Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 184,"This is to report that on 10-12-2023, obstructing sale of property offered for sale by authority of a public servant occurred. The incident happened at market. This occurred around afternoon. The accused is known to me. I have evidence in the form of photographs.",Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 184,I would like to report that obstructing sale of property offered for sale by authority of a public servant. The incident happened at workplace. This occurred around evening. The accused is a colleague. I have evidence in the form of witnesses.,Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 184,I would like to report that obstructing sale of property offered for sale by authority of a public servant. The incident happened at workplace. This occurred around afternoon. The accused is a stranger. I have evidence in the form of photographs.,Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 184,"This is to report that on 14-04-2023, obstructing sale of property offered for sale by authority of a public servant occurred. The incident happened at bus. This occurred around afternoon. The accused is a stranger. I have evidence in the form of documents.",Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 184,"This is to report that on 17-10-2023, obstructing sale of property offered for sale by authority of a public servant occurred. The incident happened at market. This occurred around early morning. The accused is my neighbor. I have evidence in the form of video recording.",Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 185,"I wish to file an FIR as bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby has taken place. The incident happened at train. This occurred around evening. The accused is a relative. I have evidence in the form of photographs.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 185,"On 21-07-2024, I witnessed/experienced bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby. The incident happened at public place. This occurred around afternoon. The accused is unknown. I have evidence in the form of witnesses.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 185,"I wish to file an FIR as bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby has taken place. The incident happened at shop. This occurred around morning. The accused is known to me. I have evidence in the form of medical reports.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 185,"I am filing this complaint regarding an incident where bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby. The incident happened at restaurant. This occurred around evening. The accused is my neighbor. I have evidence in the form of photographs.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 185,"On 20-10-2023, I witnessed/experienced bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby. The incident happened at public place. This occurred around morning. The accused is a colleague. I have evidence in the form of documents.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 186,I am filing this complaint regarding an incident where obstructing public servant in discharge of his public functions. The incident happened at market. This occurred around morning. The accused is unknown. I have evidence in the form of video recording.,Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 186,I wish to file an FIR as obstructing public servant in discharge of his public functions has taken place. The incident happened at market. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.,Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 186,I am filing this complaint regarding an incident where obstructing public servant in discharge of his public functions. The incident happened at train. This occurred around early morning. The accused is a stranger. I have evidence in the form of medical reports.,Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 186,I wish to file an FIR as obstructing public servant in discharge of his public functions has taken place. The incident happened at bus. This occurred around evening. The accused is known to me. I have evidence in the form of video recording.,Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 186,I would like to report that obstructing public servant in discharge of his public functions. The incident happened at train. This occurred around morning. The accused is a relative. I have evidence in the form of medical reports.,Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 149,"I am filing this complaint regarding an incident where if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of video recording.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,Same As Offence,Same As Offence,Same As Offence
Section 149,"I am filing this complaint regarding an incident where if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence. The incident happened at market. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,Same As Offence,Same As Offence,Same As Offence
Section 149,"I wish to file an FIR as if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence has taken place. The incident happened at public place. This occurred around early morning. The accused is unknown. I have evidence in the form of witnesses.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,Same As Offence,Same As Offence,Same As Offence
Section 149,"I wish to file an FIR as if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence has taken place. The incident happened at market. This occurred around night. The accused is unknown. I have evidence in the form of photographs.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,Same As Offence,Same As Offence,Same As Offence
Section 149,"This is to report that on 25-04-2023, if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence occurred. The incident happened at bus. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of witnesses.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,Same As Offence,Same As Offence,Same As Offence
Section 187,I wish to file an FIR as omission to assist public servant when bound by law to give such assistance has taken place. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of documents.,Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 187,I wish to file an FIR as omission to assist public servant when bound by law to give such assistance has taken place. The incident happened at market. This occurred around afternoon. The accused is a stranger. I have evidence in the form of witnesses.,Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 187,"On 25-05-2024, I witnessed/experienced omission to assist public servant when bound by law to give such assistance. The incident happened at train. This occurred around morning. The accused is a colleague. I have evidence in the form of documents.",Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 187,I wish to file an FIR as omission to assist public servant when bound by law to give such assistance has taken place. The incident happened at shop. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.,Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 187,"This is to report that on 31-12-2023, omission to assist public servant when bound by law to give such assistance occurred. The incident happened at bus. This occurred around night. The accused is my neighbor. I have evidence in the form of physical evidence.",Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 188,"This is to report that on 03-12-2023, disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed occurred. The incident happened at public place. This occurred around morning. The accused is a colleague. I have evidence in the form of documents.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 188,"On 07-07-2024, I witnessed/experienced disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed. The incident happened at home. This occurred around evening. The accused is a stranger. I have evidence in the form of physical evidence.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 188,"I would like to report that disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of witnesses.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 188,"On 07-05-2024, I witnessed/experienced disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed. The incident happened at public place. This occurred around early morning. The accused is a relative. I have evidence in the form of documents.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 188,"I wish to file an FIR as disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed has taken place. The incident happened at shop. This occurred around night. The accused is unknown. I have evidence in the form of photographs.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 189,"This is to report that on 22-03-2023, threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act occurred. The incident happened at bus. This occurred around evening. The accused is my neighbor. I have evidence in the form of physical evidence.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 189,"I am filing this complaint regarding an incident where threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act. The incident happened at bus. This occurred around afternoon. The accused is known to me. I have evidence in the form of medical reports.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 189,"I wish to file an FIR as threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act has taken place. The incident happened at home. This occurred around morning. The accused is a colleague. I have evidence in the form of witnesses.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 189,"I am filing this complaint regarding an incident where threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act. The incident happened at road. This occurred around early morning. The accused is a colleague. I have evidence in the form of physical evidence.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 189,"On 15-05-2024, I witnessed/experienced threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act. The incident happened at home. This occurred around evening. The accused is my neighbor. I have evidence in the form of medical reports.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 190,I would like to report that threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at market. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of witnesses.,Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 190,I am filing this complaint regarding an incident where threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at shop. This occurred around night. The accused is my neighbor. I have evidence in the form of video recording.,Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 190,"On 19-03-2024, I witnessed/experienced threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at bus. This occurred around early morning. The accused is a relative. I have evidence in the form of photographs.",Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 190,"On 19-01-2025, I witnessed/experienced threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at road. This occurred around morning. The accused is a colleague. I have evidence in the form of medical reports.",Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 190,I am filing this complaint regarding an incident where threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at public place. This occurred around early morning. The accused is a stranger. I have evidence in the form of witnesses.,Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 150,"I am filing this complaint regarding an incident where hiring, engaging or employing persons to take part in an unlawful assembly. The incident happened at bus. This occurred around evening. The accused is known to me. I have evidence in the form of physical evidence.","Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,Cognizable,Same As Offence,Same As Offence
Section 150,"I wish to file an FIR as hiring, engaging or employing persons to take part in an unlawful assembly has taken place. The incident happened at public place. This occurred around early morning. The accused is a stranger. I have evidence in the form of documents.","Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,Cognizable,Same As Offence,Same As Offence
Section 150,"I am filing this complaint regarding an incident where hiring, engaging or employing persons to take part in an unlawful assembly. The incident happened at road. This occurred around morning. The accused is known to me. I have evidence in the form of photographs.","Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,Cognizable,Same As Offence,Same As Offence
Section 150,"I would like to report that hiring, engaging or employing persons to take part in an unlawful assembly. The incident happened at shop. This occurred around afternoon. The accused is a relative. I have evidence in the form of photographs.","Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,Cognizable,Same As Offence,Same As Offence
Section 150,"I wish to file an FIR as hiring, engaging or employing persons to take part in an unlawful assembly has taken place. The incident happened at shop. This occurred around afternoon. The accused is a relative. I have evidence in the form of physical evidence.","Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,Cognizable,Same As Offence,Same As Offence
Section 151,I would like to report that knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. The incident happened at public place. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.,Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 151,I wish to file an FIR as knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse has taken place. The incident happened at home. This occurred around evening. The accused is my neighbor. I have evidence in the form of medical reports.,Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 151,I am filing this complaint regarding an incident where knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. The incident happened at workplace. This occurred around afternoon. The accused is unknown. I have evidence in the form of video recording.,Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 151,"On 10-09-2024, I witnessed/experienced knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. The incident happened at bus. This occurred around afternoon. The accused is a stranger. I have evidence in the form of photographs.",Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 151,I wish to file an FIR as knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse has taken place. The incident happened at workplace. This occurred around afternoon. The accused is known to me. I have evidence in the form of video recording.,Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 152,"On 04-09-2023, I witnessed/experienced assaulting or obstructing public servant when suppressing riot, etc.. The incident happened at shop. This occurred around night. The accused is unknown. I have evidence in the form of video recording.","Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 152,"I would like to report that assaulting or obstructing public servant when suppressing riot, etc.. The incident happened at public place. This occurred around afternoon. The accused is known to me. I have evidence in the form of physical evidence.","Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 152,"I am filing this complaint regarding an incident where assaulting or obstructing public servant when suppressing riot, etc.. The incident happened at restaurant. This occurred around evening. The accused is a stranger. I have evidence in the form of documents.","Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 152,"I would like to report that assaulting or obstructing public servant when suppressing riot, etc.. The incident happened at workplace. This occurred around morning. The accused is a stranger. I have evidence in the form of witnesses.","Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 152,"I would like to report that assaulting or obstructing public servant when suppressing riot, etc.. The incident happened at home. This occurred around morning. The accused is a relative. I have evidence in the form of witnesses.","Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 224,I am filing this complaint regarding an incident where resistance or obstruction by a person to his lawful apprehension. The incident happened at bus. This occurred around night. The accused is known to me. I have evidence in the form of medical reports.,Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 224,"On 23-06-2023, I witnessed/experienced resistance or obstruction by a person to his lawful apprehension. The incident happened at public place. This occurred around evening. The accused is known to me. I have evidence in the form of witnesses.",Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 224,I wish to file an FIR as resistance or obstruction by a person to his lawful apprehension has taken place. The incident happened at market. This occurred around afternoon. The accused is a stranger. I have evidence in the form of video recording.,Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 224,I am filing this complaint regarding an incident where resistance or obstruction by a person to his lawful apprehension. The incident happened at workplace. This occurred around early morning. The accused is a colleague. I have evidence in the form of physical evidence.,Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 224,"This is to report that on 08-03-2024, resistance or obstruction by a person to his lawful apprehension occurred. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of video recording.",Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225,"On 24-03-2023, I witnessed/experienced resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody. The incident happened at workplace. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225,"I wish to file an FIR as resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody has taken place. The incident happened at shop. This occurred around night. The accused is known to me. I have evidence in the form of physical evidence.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225,"I am filing this complaint regarding an incident where resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody. The incident happened at workplace. This occurred around afternoon. The accused is a stranger. I have evidence in the form of witnesses.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225,"I would like to report that resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody. The incident happened at public place. This occurred around night. The accused is unknown. I have evidence in the form of medical reports.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225,"I wish to file an FIR as resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody has taken place. The incident happened at public place. This occurred around afternoon. The accused is a colleague. I have evidence in the form of medical reports.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225,"I am filing this complaint regarding an incident where omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance. The incident happened at bus. This occurred around evening. The accused is a stranger. I have evidence in the form of physical evidence.","Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance",3 Years or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class
Section 225,"I am filing this complaint regarding an incident where omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance. The incident happened at workplace. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.","Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance",3 Years or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class
Section 225,"I am filing this complaint regarding an incident where omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance. The incident happened at public place. This occurred around evening. The accused is unknown. I have evidence in the form of medical reports.","Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance",3 Years or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class
