FIR_Complaint,Sections
I would like to report that public servant disobeying a direction of the law with intent to cause injury to any person. The incident happened at workplace. This occurred around night. The accused is known to me. I have evidence in the form of witnesses.,"['Section 329', 'Section 259']"
"This is to report that on 20-02-2025, theft in a building, tent or vessel occurred. The incident happened at market. This occurred around night. The accused is known to me. I have evidence in the form of witnesses.","['Section 261', 'Section 175']"
I wish to file an FIR as house-trespass has taken place. The incident happened at public place. This occurred around evening. The accused is unknown. I have evidence in the form of medical reports.,"['Section 440', 'Section 257']"
"I would like to report that exhibition of a false light, mark or buoy. The incident happened at public place. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.","['Section 194', 'Section 403']"
"On 08-04-2024, I witnessed/experienced the incident described. The incident happened at road. This occurred around evening. The accused is known to me. I have evidence in the form of witnesses.","['Section 329', 'Section 510']"
I would like to report that unlawful compulsory labour. The incident happened at restaurant. This occurred around evening. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 180', 'Section 464']"
"I would like to report that house-trespass, having made preparation for causing hurt, assault, etc.. The incident happened at train. This occurred around early morning. The accused is a relative. I have evidence in the form of documents.","['Section 412', 'Section 499']"
"This is to report that on 11-07-2024, if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence occurred. The incident happened at market. This occurred around morning. The accused is unknown. I have evidence in the form of video recording.","['Section 335', 'Section 492']"
"On 12-01-2024, I witnessed/experienced dealing with any poisonous substance so as to endanger human life, etc.. The incident happened at public place. This occurred around night. The accused is a colleague. I have evidence in the form of video recording.","['Section 372', 'Section 460']"
"On 03-02-2024, I witnessed/experienced public servant framing an incorrect document with intent to cause injury. The incident happened at public place. This occurred around evening. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 414', 'Section 137']"
"I wish to file an FIR as public servant in a judicial proceeding corruptly making and pronouncing an order, report, verdict, or decision which he knows to be contrary to law has taken place. The incident happened at market. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.","['Section 187', 'Section 257']"
"I am filing this complaint regarding an incident where offering gift or restoration of property in consideration of screening offender, if the offence be capital. The incident happened at workplace. This occurred around morning. The accused is my neighbor. I have evidence in the form of photographs.","['Section 423', 'Section 442']"
I wish to file an FIR as causing death of a quick unborn child by an act amounting to culpable homicide has taken place. The incident happened at market. This occurred around evening. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 454', 'Section 215']"
"I am filing this complaint regarding an incident where voluntarily causing hurt to extort confession or information of property, etc.. The incident happened at bus. This occurred around night. The accused is unknown. I have evidence in the form of video recording.","['Section 350', 'Section 481']"
"On 17-03-2025, I witnessed/experienced causing danger, obstruction or, injury in any public way or line of navigation. The incident happened at bus. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.","['Section 259', 'Section 253']"
"On 10-07-2023, I witnessed/experienced so dealing with any machinery. The incident happened at train. This occurred around morning. The accused is a stranger. I have evidence in the form of documents.","['Section 207', 'Section 391']"
"On 17-12-2023, I witnessed/experienced conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life. The incident happened at bus. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.","['Section 343', 'Section 209']"
"This is to report that on 08-04-2024, promoting enmity between classes occurred. The incident happened at train. This occurred around early morning. The accused is unknown. I have evidence in the form of physical evidence.","['Section 322', 'Section 457']"
I am filing this complaint regarding an incident where a man by deceit causing a woman not lawfully married to him to believe that she is lawfully married to him and to cohabit with him in that belief. The incident happened at restaurant. This occurred around early morning. The accused is a colleague. I have evidence in the form of medical reports.,"['Section 336', 'Section 368']"
"This is to report that on 13-09-2024, the incident described occurred. The incident happened at market. This occurred around evening. The accused is known to me. I have evidence in the form of video recording.","['Section 187', 'Section 388']"
I am filing this complaint regarding an incident where harbouring robbers or dacoits. The incident happened at road. This occurred around morning. The accused is known to me. I have evidence in the form of video recording.,"['Section 248', 'Section 228']"
"This is to report that on 30-06-2024, receiving property taken by war or depredation mentioned in sections 125 and 126 occurred. The incident happened at home. This occurred around night. The accused is a stranger. I have evidence in the form of witnesses.","['Section 478', 'Section 428']"
I am filing this complaint regarding an incident where the incident described. The incident happened at market. This occurred around morning. The accused is known to me. I have evidence in the form of medical reports.,"['Section 496', 'Section 504']"
"I am filing this complaint regarding an incident where assaulting or obstructing public servant when suppressing riot, etc.. The incident happened at shop. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.","['Section 388', 'Section 366']"
"On 31-01-2025, I witnessed/experienced the incident described. The incident happened at home. This occurred around afternoon. The accused is unknown. I have evidence in the form of video recording.","['Section 203', 'Section 259']"
"I wish to file an FIR as hiring, engaging or employing persons to take part in an unlawful assembly has taken place. The incident happened at workplace. This occurred around afternoon. The accused is a stranger. I have evidence in the form of medical reports.","['Section 337', 'Section 257']"
"On 13-04-2023, I witnessed/experienced putting or attempting to put in fear of injury, in order to commit extortion. The incident happened at workplace. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 303', 'Section 437']"
I wish to file an FIR as the incident described has taken place. The incident happened at public place. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 449', 'Section 254']"
I wish to file an FIR as harbouring persons hired for an unlawful assembly has taken place. The incident happened at shop. This occurred around night. The accused is known to me. I have evidence in the form of video recording.,"['Section 372', 'Section 172']"
I wish to file an FIR as negligently doing any act known to be likely to spread infection of any disease dangerous to life has taken place. The incident happened at home. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of documents.,"['Section 233', 'Section 187']"
"I wish to file an FIR as if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence has taken place. The incident happened at workplace. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of photographs.","['Section 479', 'Section 506']"
I wish to file an FIR as the incident described has taken place. The incident happened at shop. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of photographs.,"['Section 356', 'Section 168']"
"I am filing this complaint regarding an incident where sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter against the president or the vice-president or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the public prosecutor. The incident happened at home. This occurred around morning. The accused is unknown. I have evidence in the form of medical reports.","['Section 326', 'Section 180']"
I would like to report that extortion. The incident happened at public place. This occurred around night. The accused is known to me. I have evidence in the form of witnesses.,"['Section 469', 'Section 477']"
I wish to file an FIR as wrongfully confining for 3 or more days has taken place. The incident happened at shop. This occurred around night. The accused is a relative. I have evidence in the form of video recording.,"['Section 386', 'Section 147']"
"This is to report that on 04-07-2023, house-trespass in order to the commission of an offence punishable with death occurred. The incident happened at workplace. This occurred around night. The accused is known to me. I have evidence in the form of video recording.","['Section 440', 'Section 475']"
I am filing this complaint regarding an incident where public servant unlawfully engaging in trade. The incident happened at restaurant. This occurred around evening. The accused is my neighbor. I have evidence in the form of witnesses.,"['Section 468', 'Section 440']"
"This is to report that on 18-03-2024, the incident described occurred. The incident happened at shop. This occurred around morning. The accused is a relative. I have evidence in the form of medical reports.","['Section 250', 'Section 150']"
I would like to report that the incident described. The incident happened at restaurant. This occurred around night. The accused is a colleague. I have evidence in the form of photographs.,"['Section 266', 'Section 427']"
I wish to file an FIR as committing affray has taken place. The incident happened at workplace. This occurred around evening. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 296', 'Section 447']"
"I would like to report that putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years in order to commit extortion.. The incident happened at train. This occurred around morning. The accused is my neighbor. I have evidence in the form of documents.","['Section 503', 'Section 358']"
"This is to report that on 29-11-2023, promoting enmity between classes occurred. The incident happened at road. This occurred around evening. The accused is a relative. I have evidence in the form of documents.","['Section 123', 'Section 204']"
I am filing this complaint regarding an incident where murder. The incident happened at shop. This occurred around evening. The accused is a stranger. I have evidence in the form of video recording.,"['Section 362', 'Section 360']"
I wish to file an FIR as intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding has taken place. The incident happened at train. This occurred around early morning. The accused is a colleague. I have evidence in the form of physical evidence.,"['Section 352', 'Section 468']"
"On 13-04-2024, I witnessed/experienced using as genuine a forged document which is known to be forged. The incident happened at home. This occurred around afternoon. The accused is a relative. I have evidence in the form of photographs.","['Section 450', 'Section 394']"
"This is to report that on 08-09-2024, bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby occurred. The incident happened at market. This occurred around early morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 375', 'Section 398']"
"This is to report that on 16-04-2023, mischief, and thereby causing damage to the amount of 50 rupees or upwards occurred. The incident happened at home. This occurred around night. The accused is my neighbor. I have evidence in the form of documents.","['Section 177', 'Section 301']"
I wish to file an FIR as false charge of offence made with intent to injure has taken place. The incident happened at bus. This occurred around early morning. The accused is a colleague. I have evidence in the form of witnesses.,"['Section 457', 'Section 121']"
"I wish to file an FIR as import or export of counterfeit coin, knowing the same to be counterfeit has taken place. The incident happened at workplace. This occurred around morning. The accused is a colleague. I have evidence in the form of video recording.","['Section 353', 'Section 472']"
I would like to report that defamation against the president or the vice-president or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the public prosecutor. The incident happened at bus. This occurred around morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 459', 'Section 486']"
I wish to file an FIR as murder in dacoity has taken place. The incident happened at workplace. This occurred around night. The accused is a relative. I have evidence in the form of documents.,"['Section 330', 'Section 267']"
I am filing this complaint regarding an incident where dishonestly receiving stolen property knowing it to be stolen. The incident happened at bus. This occurred around afternoon. The accused is unknown. I have evidence in the form of video recording.,"['Section 170', 'Section 155']"
"This is to report that on 23-10-2024, mischief by destroying or moving, etc., a landmark fixed by public authority occurred. The incident happened at road. This occurred around morning. The accused is a relative. I have evidence in the form of photographs.","['Section 276', 'Section 290']"
I wish to file an FIR as the incident described has taken place. The incident happened at market. This occurred around afternoon. The accused is a relative. I have evidence in the form of photographs.,"['Section 158', 'Section 446']"
"I wish to file an FIR as deserter concealed on board merchant vessel, through negligence of master or person in charge thereof has taken place. The incident happened at public place. This occurred around morning. The accused is a stranger. I have evidence in the form of witnesses.","['Section 417', 'Section 401']"
I wish to file an FIR as voluntarily causing grievous hurt has taken place. The incident happened at market. This occurred around night. The accused is my neighbor. I have evidence in the form of video recording.,"['Section 504', 'Section 508']"
I would like to report that voluntarily causing hurt to deter public servant from his duty. The incident happened at shop. This occurred around night. The accused is my neighbor. I have evidence in the form of photographs.,"['Section 443', 'Section 412']"
I am filing this complaint regarding an incident where repeat offenders. The incident happened at workplace. This occurred around evening. The accused is known to me. I have evidence in the form of photographs.,"['Section 253', 'Section 359']"
I wish to file an FIR as public servant unlawfully buying or bidding for property has taken place. The incident happened at road. This occurred around afternoon. The accused is a relative. I have evidence in the form of witnesses.,"['Section 342', 'Section 245']"
I am filing this complaint regarding an incident where voluntarily causing hurt by dangerous weapons or means. The incident happened at market. This occurred around night. The accused is unknown. I have evidence in the form of video recording.,"['Section 504', 'Section 179']"
"This is to report that on 01-08-2024, the incident described occurred. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of medical reports.","['Section 133', 'Section 470']"
"On 08-12-2023, I witnessed/experienced committing depredation on the territories of any power in alliance or at peace with the government of india. The incident happened at shop. This occurred around night. The accused is a stranger. I have evidence in the form of documents.","['Section 353', 'Section 376']"
"This is to report that on 20-09-2024, the incident described occurred. The incident happened at workplace. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.","['Section 411', 'Section 165']"
"On 08-09-2024, I witnessed/experienced the incident described. The incident happened at restaurant. This occurred around evening. The accused is a stranger. I have evidence in the form of documents.","['Section 147', 'Section 312']"
I wish to file an FIR as false charge of offence made with intent to injure has taken place. The incident happened at workplace. This occurred around morning. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 505', 'Section 180']"
"On 10-09-2023, I witnessed/experienced knowingly selling goods marked with a counterfeit property mark. The incident happened at road. This occurred around evening. The accused is a relative. I have evidence in the form of witnesses.","['Section 161', 'Section 347']"
I am filing this complaint regarding an incident where possession of indian coin by a person who knew it to be counterfeit when he became possessed thereof. The incident happened at shop. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 308', 'Section 417']"
"On 10-06-2024, I witnessed/experienced preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. The incident happened at shop. This occurred around night. The accused is a relative. I have evidence in the form of video recording.","['Section 203', 'Section 258']"
"This is to report that on 04-05-2024, public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture occurred. The incident happened at home. This occurred around early morning. The accused is a colleague. I have evidence in the form of video recording.","['Section 322', 'Section 332']"
"I am filing this complaint regarding an incident where assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation. The incident happened at public place. This occurred around night. The accused is a relative. I have evidence in the form of photographs.","['Section 364', 'Section 180']"
"On 18-01-2024, I witnessed/experienced mischief. The incident happened at road. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.","['Section 268', 'Section 189']"
"This is to report that on 06-01-2024, the mischief described in the last section when committed by fire or any explosive substance occurred. The incident happened at road. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 455', 'Section 383']"
"I am filing this complaint regarding an incident where causing hurt by an act which endangers human life, etc.. The incident happened at market. This occurred around night. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 194', 'Section 150']"
"I wish to file an FIR as mischief by destroying or moving, etc., a landmark fixed by public authority has taken place. The incident happened at road. This occurred around evening. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 477', 'Section 153']"
"This is to report that on 25-07-2023, the incident described occurred. The incident happened at market. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.","['Section 198', 'Section 179']"
"This is to report that on 19-12-2024, attempt to commit culpable homicide occurred. The incident happened at restaurant. This occurred around evening. The accused is a stranger. I have evidence in the form of photographs.","['Section 281', 'Section 216']"
I am filing this complaint regarding an incident where punishment for abetment of offences punishable under section 161 or section 165. The incident happened at bus. This occurred around evening. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 181', 'Section 263']"
I wish to file an FIR as public servant unlawfully engaging in trade has taken place. The incident happened at home. This occurred around evening. The accused is a relative. I have evidence in the form of video recording.,"['Section 293', 'Section 392']"
"On 13-10-2023, I witnessed/experienced adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious. The incident happened at road. This occurred around morning. The accused is known to me. I have evidence in the form of photographs.","['Section 271', 'Section 183']"
I wish to file an FIR as the mischief described in the last section when committed by fire or any explosive substance has taken place. The incident happened at shop. This occurred around early morning. The accused is a stranger. I have evidence in the form of video recording.,"['Section 137', 'Section 198']"
"On 18-05-2023, I witnessed/experienced causing miscarriage without womanâ€™s consent. The incident happened at road. This occurred around early morning. The accused is a colleague. I have evidence in the form of documents.","['Section 227', 'Section 238']"
"This is to report that on 08-08-2023, the incident described occurred. The incident happened at home. This occurred around evening. The accused is a colleague. I have evidence in the form of photographs.","['Section 420', 'Section 340']"
"I would like to report that disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed. The incident happened at bus. This occurred around evening. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 422', 'Section 404']"
"On 19-02-2025, I witnessed/experienced owner or occupier of land non giving information of riot, etc.. The incident happened at workplace. This occurred around night. The accused is known to me. I have evidence in the form of physical evidence.","['Section 226', 'Section 350']"
"I am filing this complaint regarding an incident where collecting arms, etc., with the intention of waging war against the government of india. The incident happened at bus. This occurred around afternoon. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 160', 'Section 511']"
"I wish to file an FIR as sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter against the president or the vice-president or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the public prosecutor has taken place. The incident happened at restaurant. This occurred around afternoon. The accused is a stranger. I have evidence in the form of medical reports.","['Section 227', 'Section 146']"
"This is to report that on 17-11-2023, the incident described occurred. The incident happened at train. This occurred around morning. The accused is my neighbor. I have evidence in the form of documents.","['Section 405', 'Section 331']"
"This is to report that on 14-08-2024, causing a disturbance to an assembly engaged in religious worship occurred. The incident happened at market. This occurred around morning. The accused is a relative. I have evidence in the form of video recording.","['Section 243', 'Section 185']"
I would like to report that cheating by personation. The incident happened at restaurant. This occurred around morning. The accused is unknown. I have evidence in the form of photographs.,"['Section 218', 'Section 309']"
"On 15-04-2024, I witnessed/experienced voluntarily causing grievous hurt. The incident happened at train. This occurred around early morning. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 350', 'Section 226']"
"On 23-08-2023, I witnessed/experienced voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence. The incident happened at shop. This occurred around night. The accused is a stranger. I have evidence in the form of video recording.","['Section 438', 'Section 354']"
"This is to report that on 28-06-2023, act caused by inducing a person to believe that he will be rendered an object of divine displeasure occurred. The incident happened at market. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.","['Section 158', 'Section 473']"
"This is to report that on 11-05-2024, exhibition of a false light, mark or buoy occurred. The incident happened at workplace. This occurred around night. The accused is a stranger. I have evidence in the form of photographs.","['Section 274', 'Section 480']"
I wish to file an FIR as the incident described has taken place. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 288', 'Section 134']"
"This is to report that on 12-05-2023, making or selling false weights or measures for fraudulent use occurred. The incident happened at shop. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 369', 'Section 499']"
"This is to report that on 27-09-2023, causing a disturbance to an assembly engaged in religious worship occurred. The incident happened at public place. This occurred around morning. The accused is a relative. I have evidence in the form of video recording.","['Section 202', 'Section 163']"
"I would like to report that fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private property mark. The incident happened at shop. This occurred around night. The accused is a stranger. I have evidence in the form of video recording.","['Section 493', 'Section 383']"
"On 03-03-2025, I witnessed/experienced using a false property mark with intent to deceive or injure any person. The incident happened at bus. This occurred around early morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 388', 'Section 405']"
"On 15-05-2023, I witnessed/experienced the incident described. The incident happened at shop. This occurred around early morning. The accused is a stranger. I have evidence in the form of video recording.","['Section 365', 'Section 494']"
I would like to report that kidnapping or abducting a woman to compel her marriage or to cause her defilement etc.. The incident happened at bus. This occurred around evening. The accused is a colleague. I have evidence in the form of physical evidence.,"['Section 311', 'Section 196']"
I would like to report that habitually dealing in stolen property. The incident happened at restaurant. This occurred around afternoon. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 221', 'Section 255']"
"On 15-03-2025, I witnessed/experienced knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation. The incident happened at home. This occurred around afternoon. The accused is known to me. I have evidence in the form of photographs.","['Section 342', 'Section 344']"
"On 13-12-2024, I witnessed/experienced criminal breach of trust by a clerk or servant. The incident happened at workplace. This occurred around evening. The accused is a stranger. I have evidence in the form of video recording.","['Section 327', 'Section 431']"
I am filing this complaint regarding an incident where murder. The incident happened at market. This occurred around evening. The accused is a colleague. I have evidence in the form of video recording.,"['Section 389', 'Section 147']"
"This is to report that on 24-12-2024, public servant voluntarily allowing prisoner of state or war in his custody to escape occurred. The incident happened at market. This occurred around early morning. The accused is a colleague. I have evidence in the form of photographs.","['Section 317', 'Section 287']"
"I would like to report that sale etc., of obscene objects to young persons. The incident happened at market. This occurred around early morning. The accused is a colleague. I have evidence in the form of video recording.","['Section 175', 'Section 361']"
I am filing this complaint regarding an incident where the incident described. The incident happened at market. This occurred around afternoon. The accused is a stranger. I have evidence in the form of physical evidence.,"['Section 264', 'Section 482']"
I am filing this complaint regarding an incident where house-trespass in order to the commission of an offence punishable with imprisonment. The incident happened at market. This occurred around evening. The accused is unknown. I have evidence in the form of witnesses.,"['Section 217', 'Section 349']"
"On 31-12-2023, I witnessed/experienced a man by deceit causing a woman not lawfully married to him to believe that she is lawfully married to him and to cohabit with him in that belief. The incident happened at market. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.","['Section 305', 'Section 260']"
"On 15-03-2025, I witnessed/experienced giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years or upwards. The incident happened at workplace. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.","['Section 444', 'Section 306']"
"On 28-05-2024, I witnessed/experienced the incident described. The incident happened at public place. This occurred around night. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 409', 'Section 211']"
"On 14-12-2023, I witnessed/experienced rioting armed with deadly weapon. The incident happened at shop. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 249', 'Section 173']"
"I am filing this complaint regarding an incident where fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied. The incident happened at restaurant. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of video recording.","['Section 455', 'Section 312']"
I am filing this complaint regarding an incident where the incident described. The incident happened at shop. This occurred around early morning. The accused is my neighbor. I have evidence in the form of medical reports.,"['Section 133', 'Section 342']"
I would like to report that the incident described. The incident happened at bus. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 489', 'Section 409']"
"This is to report that on 07-10-2023, fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied occurred. The incident happened at train. This occurred around night. The accused is a stranger. I have evidence in the form of photographs.","['Section 286', 'Section 387']"
I wish to file an FIR as cheating by personation has taken place. The incident happened at public place. This occurred around evening. The accused is unknown. I have evidence in the form of medical reports.,"['Section 156', 'Section 259']"
"On 20-09-2023, I witnessed/experienced fraudulent use of false instrument for weighing. The incident happened at road. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 210', 'Section 167']"
"On 31-08-2024, I witnessed/experienced giving or fabricating false evidence in a judicial proceeding. The incident happened at home. This occurred around evening. The accused is a colleague. I have evidence in the form of medical reports.","['Section 333', 'Section 230']"
I wish to file an FIR as the incident described has taken place. The incident happened at public place. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 499', 'Section 170']"
"This is to report that on 17-03-2025, navigating any vessel so rashly or negligently as to endanger human life, etc. occurred. The incident happened at market. This occurred around night. The accused is a stranger. I have evidence in the form of documents.","['Section 383', 'Section 312']"
I am filing this complaint regarding an incident where criminal intimidation. The incident happened at restaurant. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of photographs.,"['Section 242', 'Section 165']"
"I wish to file an FIR as selling or letting to hire a minor for purposes of prostitution, etc. has taken place. The incident happened at restaurant. This occurred around afternoon. The accused is known to me. I have evidence in the form of physical evidence.","['Section 470', 'Section 304']"
"On 31-10-2024, I witnessed/experienced kidnapping or abducting with intent secretly and wrongfully to confine a person. The incident happened at shop. This occurred around morning. The accused is a colleague. I have evidence in the form of medical reports.","['Section 264', 'Section 319']"
I wish to file an FIR as using as a true certificate one known to be false in a material point has taken place. The incident happened at public place. This occurred around night. The accused is known to me. I have evidence in the form of medical reports.,"['Section 320', 'Section 473']"
"I am filing this complaint regarding an incident where fraudulent removal or concealment of property etc., to prevent distribution among creditors. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 214', 'Section 313']"
"On 29-05-2024, I witnessed/experienced taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender. The incident happened at market. This occurred around afternoon. The accused is a relative. I have evidence in the form of witnesses.","['Section 188', 'Section 509']"
"This is to report that on 13-09-2024, public servant unlawfully engaging in trade occurred. The incident happened at home. This occurred around evening. The accused is unknown. I have evidence in the form of video recording.","['Section 302', 'Section 220']"
"On 07-01-2025, I witnessed/experienced a person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal. The incident happened at road. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 237', 'Section 305']"
"This is to report that on 30-10-2024, doing any act which endangers human life or the personal safety of others occurred. The incident happened at restaurant. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.","['Section 437', 'Section 155']"
"This is to report that on 29-05-2024, attempt to commit robbery occurred. The incident happened at restaurant. This occurred around evening. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 387', 'Section 310']"
"I would like to report that import or export of counterfeit coin, knowing the same to be counterfeit. The incident happened at home. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.","['Section 150', 'Section 127']"
"I would like to report that preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. The incident happened at train. This occurred around morning. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 220', 'Section 224']"
"On 21-12-2024, I witnessed/experienced using a government stamp known to have been before used. The incident happened at market. This occurred around morning. The accused is known to me. I have evidence in the form of physical evidence.","['Section 306', 'Section 257']"
"This is to report that on 28-04-2024, the incident described occurred. The incident happened at market. This occurred around afternoon. The accused is known to me. I have evidence in the form of physical evidence.","['Section 356', 'Section 226']"
"This is to report that on 13-05-2023, punishment for subjecting a married woman to cruelty occurred. The incident happened at workplace. This occurred around evening. The accused is unknown. I have evidence in the form of physical evidence.","['Section 393', 'Section 153']"
I am filing this complaint regarding an incident where intentional omission to give information of an offence by a person legally bound to inform. The incident happened at home. This occurred around evening. The accused is a stranger. I have evidence in the form of photographs.,"['Section 247', 'Section 216']"
"On 09-08-2023, I witnessed/experienced false statement made in any declaration which by law receivable as evidence. The incident happened at home. This occurred around early morning. The accused is known to me. I have evidence in the form of witnesses.","['Section 288', 'Section 419']"
"This is to report that on 03-10-2023, dishonestly breaking open or unfastening any closed receptacle containing or supposed to contain property occurred. The incident happened at public place. This occurred around early morning. The accused is a stranger. I have evidence in the form of photographs.","['Section 433', 'Section 193']"
"On 27-08-2023, I witnessed/experienced the incident described. The incident happened at train. This occurred around evening. The accused is known to me. I have evidence in the form of video recording.","['Section 489', 'Section 432']"
I wish to file an FIR as the incident described has taken place. The incident happened at workplace. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.,"['Section 235', 'Section 309']"
"On 06-09-2024, I witnessed/experienced same with respect to indian coin. The incident happened at workplace. This occurred around night. The accused is known to me. I have evidence in the form of photographs.","['Section 188', 'Section 376']"
"This is to report that on 27-09-2024, the incident described occurred. The incident happened at road. This occurred around night. The accused is my neighbor. I have evidence in the form of photographs.","['Section 342', 'Section 504']"
"I wish to file an FIR as preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation has taken place. The incident happened at shop. This occurred around evening. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 309', 'Section 220']"
I would like to report that making preparation to commit dacoity. The incident happened at market. This occurred around early morning. The accused is my neighbor. I have evidence in the form of documents.,"['Section 152', 'Section 300']"
I would like to report that undue influence at an election. The incident happened at market. This occurred around early morning. The accused is a relative. I have evidence in the form of physical evidence.,"['Section 206', 'Section 399']"
"On 13-02-2024, I witnessed/experienced the incident described. The incident happened at shop. This occurred around early morning. The accused is known to me. I have evidence in the form of medical reports.","['Section 276', 'Section 128']"
"I wish to file an FIR as wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc. has taken place. The incident happened at restaurant. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.","['Section 381', 'Section 281']"
"I wish to file an FIR as abetment of the desertion of an officer, soldier, sailor or airman has taken place. The incident happened at train. This occurred around evening. The accused is unknown. I have evidence in the form of video recording.","['Section 344', 'Section 409']"
"On 05-09-2024, I witnessed/experienced disclosure of identity of the victim of certain offences, etc.. The incident happened at train. This occurred around early morning. The accused is unknown. I have evidence in the form of physical evidence.","['Section 296', 'Section 424']"
